prov,fecha,casos_tot,dup
Mendoza,2020-04-01,25,4.12279073889388
Misiones,2020-04-01,3,100
Neuquen,2020-04-01,24,3.646163735949895
Rio_Negro,2020-04-01,9,8.463164028571631
Salta,2020-04-01,3,100
San_Juan,2020-04-01,1,100
San_Luis,2020-04-01,7,100
Santa_Cruz,2020-04-01,19,100
Santa_Fe,2020-04-01,144,3.851168456655448
Santiago_del_Estero,2020-04-01,2,100
Tierra_del_fuego,2020-04-01,39,3.4061969621629116
Tucuman,2020-04-01,17,100
Buenos_Aires,2020-04-02,316,7.795129737082955
CABA,2020-04-02,345,9.682722826729448
Catamarca,2020-04-02,0,NA
Chaco,2020-04-02,99,6.692276581633035
Chubut,2020-04-02,0,NA
Cordoba,2020-04-02,117,5.71433085335523
Corrientes,2020-04-02,22,2.1629412471463394
Entre_Rios,2020-04-02,16,10.995027401607938
Formosa,2020-04-02,0,NA
Jujuy,2020-04-02,5,100
La_Pampa,2020-04-02,3,100
La_Rioja,2020-04-02,4,100
Mendoza,2020-04-02,25,3.3079747741266345
Misiones,2020-04-02,3,100
Neuquen,2020-04-02,28,4.470136408712085
Rio_Negro,2020-04-02,9,14.121619636332364
Salta,2020-04-02,3,100
San_Juan,2020-04-02,1,100
San_Luis,2020-04-02,9,100
Santa_Cruz,2020-04-02,21,100
Santa_Fe,2020-04-02,152,4.425593124583477
Santiago_del_Estero,2020-04-02,3,100
Tierra_del_fuego,2020-04-02,63,2.8017250365295325
Tucuman,2020-04-02,21,100
Buenos_Aires,2020-04-03,338,7.801056889502244
CABA,2020-04-03,373,9.878375879748251
Catamarca,2020-04-03,0,NA
Chaco,2020-04-03,107,7.386876586796104
Chubut,2020-04-03,0,NA
Cordoba,2020-04-03,131,5.516062638995467
Corrientes,2020-04-03,22,3.646007452281593
Entre_Rios,2020-04-03,18,8.01095115747094
Formosa,2020-04-03,0,NA
Jujuy,2020-04-03,5,100
La_Pampa,2020-04-03,3,100
